"CODE","NAME","POSTCODE","NUMBER_OF_PRACTITIONERS","NUMBER_OF_PATIENTS","latitude","longitude"
"Y05318","DENMARK ROAD SURGERY","SE25 5NT",4,6084,51.392933,-0.067504
"Y05857","RHND","SW15 3SW",5,133,51.452204,-0.213735
"B82004","NIDDERDALE GROUP PRACTICE","HG3 5AT",24,10624,54.086615,-1.760938
"B82008","NORTH HOUSE SURGERY","HG4 1HL",19,8436,54.139046,-1.524
"B82010","RIPON SPA SURGERY","HG4 2BE",14,7857,54.136164,-1.527079
"B82011","SHERBURN SURGERY","YO17 8PH",14,5569,54.181726,-0.531485
"B82012","THE LEEDS ROAD PRACTICE","HG2 8AY",21,14653,53.980466,-1.535156
"B82013","MOSS HEALTHCARE HARROGATE","HG1 5JP",28,19485,53.995538,-1.542158
"B82014","KINGSWOOD SURGERY","HG2 7SA",10,6725,53.991495,-1.517051
"B82016","EAST PARADE SURGERY","HG1 5AR",17,7758,53.996354,-1.529793
"B82017","WHITBY GROUP PRACTICE","YO21 1SD",33,13765,54.485919,-0.62317
"B82019","TOPCLIFFE SURGERY","YO7 3RP",8,3543,54.177789,-1.384704
"B82022","GREAT AYTON SURGERY","TS9 6BL",9,5595,54.489758,-1.132677
"B82023","CATTERICK VILLAGE SURGERY","DL10 7LD",10,6447,54.378379,-1.632068
"B82024","EASTFIELD MEDICAL CENTRE","YO11 3LJ",12,8593,54.238911,-0.397567
"B82025","DERWENT PRACTICE","YO17 9RF",27,20906,54.132583,-0.797728
"B82027","THE SPA SURGERY","HG1 5AR",28,14786,53.996354,-1.529793
"B82029","DOCTORS LANE SURGERY","DL11 7TH",8,3263,54.496518,-1.684645
"B82030","DR AKESTER & PARTNERS","HG4 3SE",12,5856,54.163996,-1.650068
"B82032","CHURCH LANE SURGERY","YO51 9BD",23,11163,54.093549,-1.393641
"B82034","QUAKERS LANE SURGERY","DL10 4BB",12,6230,54.406363,-1.741713
"B82035","SCORTON MEDICAL CENTRE","DL10 6HB",7,3577,54.39818,-1.614771
"B82036","PARK STREET","HG4 2AX",13,7497,54.136451,-1.526892
"B82037","FILEY SURGERY","YO14 9AE",15,8943,54.210086,-0.290344
"B82038","HAXBY GROUP SCARBOROUGH","YO11 1UB",36,27264,54.277309,-0.409715
"B82042","LAMBERT MEDICAL CENTRE","YO7 1LU",16,8432,54.23168,-1.342391
"B82044","STOKESLEY SURGERY","TS9 5DY",11,9173,54.470898,-1.194366
"B82045","CENTRAL DALES PRACTICE","DL8 3QR",12,4319,54.304274,-2.197038
"B82046","STAITHES SURGERY","TS13 5AY",9,3066,54.553165,-0.794113
"B82049","THIRSK DOCTORS SURGERY","YO7 1LG",13,7582,54.230936,-1.342786
"B82050","MOWBRAY HOUSE SURGERY","DL7 8FW",31,20625,54.335631,-1.439147
"B82054","SCARBOROUGH MEDICAL GROUP","YO12 6UB",23,14777,54.297615,-0.441541
"B82057","SPRINGBANK SURGERY","YO26 8BN",14,6733,54.004037,-1.299166
"B82059","CHURCH AVENUE MEDICAL GROUP","HG1 4HG",21,10920,54.006021,-1.535757
"B82060","EASTGATE MEDICAL GROUP","HG5 0AD",24,12548,54.006795,-1.462815
"B82062","EGTON SURGERY","YO21 1TX",5,2577,54.445555,-0.755238
"B82063","AYTON AND SNAINTON MEDICAL PRACTICE","YO13 9JF",17,9082,54.246046,-0.493642
"B82066","GLEBE HOUSE SURGERY","DL8 2AT",19,9613,54.285722,-1.593125
"B82067","STOCKWELL ROAD SURGERY","HG5 0JY",11,7604,54.011999,-1.466762
"B82069","BEECH HOUSE SURGERY","HG5 0UB",9,7302,54.010836,-1.465892
"B82072","THE FRIARY SURGERY","DL10 4UJ",12,5459,54.404898,-1.738342
"B82075","MAYFORD HOUSE SURGERY","DL7 8AW",18,9636,54.328376,-1.446534
"B82078","LEYBURN MEDICAL PRACTICE","DL8 5EP",20,6078,54.309299,-1.825591
"B82086","ESK VALLEY MEDICAL PRACTICE","YO21 2PA",7,2425,54.468317,-0.907874
"B82088","BROOK SQUARE SURGERY","YO12 7AS",16,10479,54.281789,-0.409328
"B82091","PARK PARADE SURGERY","HG1 5AR",13,8037,53.996354,-1.529793
"B82101","SLEIGHTS AND SANDSEND MEDICAL PRACTICE","YO22 5DP",16,5214,54.452005,-0.659645
"B82104","HAREWOOD MEDICAL PRACTICE","DL9 3JD",22,7787,54.376221,-1.721828
"B82106","HACKNESS ROAD SURGERY","YO12 5SD",8,4007,54.295164,-0.443894
"B82609","AMPLEFORTH SURGERY","YO62 4EF",12,3935,54.200351,-1.104697
"B82622","REETH MEDICAL CENTRE","DL11 6SU",2,1595,54.387708,-1.94543
"B82628","HUNMANBY SURGERY","YO14 0NN",7,4043,54.180186,-0.319451
"Y02669","CASTLE HEALTH CENTRE","YO11 2NP",12,4393,54.280293,-0.402934
"C82040","ORCHARD SURGERY","DE74 2EL",13,8743,52.836503,-1.277947
"C84004","ST ALBANS MEDICAL CENTRE","NG6 8AQ",11,7392,53.007115,-1.193037
"C84005","VILLAGE HEALTH GROUP","LE12 6JG",34,25804,52.83403,-1.177129
"C84009","BARNBY GATE SURGERY","NG24 1QD",15,13917,53.074931,-0.80497
"C84010","TRENTSIDE MEDICAL GROUP","NG4 2FN",21,12061,52.962316,-1.078505
"C84011","ELMSWOOD SURGERY","NG5 4AD",15,8939,52.983751,-1.141593
"C84012","WILLOWBROOK MEDICAL PRACTICE","NG17 1ES",9,13609,53.122839,-1.267337
"C84014","WOODLANDS MEDICAL PRACTICE","NG17 1JW",11,10345,53.117767,-1.280166
"C84016","OAKWOOD SURGERY","NG19 8BL",23,15660,53.164015,-1.19309
"C84017","BELVOIR HEALTH GROUP","NG13 8FD",36,25239,52.952913,-0.954655
"C84018","FAMILY MEDICAL CENTRE (SOOD)","NG3 2FW",18,11720,52.957865,-1.128529
"C84019","FOUNTAIN MEDICAL CENTRE","NG24 1QH",15,13259,53.07286,-0.804383
"C84020","CHURCHSIDE MEDICAL PRACTICE","NG18 1QB",9,6955,53.146592,-1.203539
"C84021","MIDDLETON LODGE PRACTICE","NG22 9SZ",18,13050,53.20697,-1.006833
"C84023","THE UNIV OF NOTTINGHAM HEALTH SERV","NG7 2QW",35,43399,52.942177,-1.195942
"C84025","EAST BRIDGFORD MED CENTRE","NG13 8NY",8,7351,52.978633,-0.957576
"C84026","STENHOUSE MEDICAL CENTRE","NG5 7BP",23,12366,53.005324,-1.130211
"C84028","THE RUDDINGTON MED CENTRE","NG11 6HD",12,6934,52.891589,-1.151366
"C84029","LOMBARD MEDICAL CENTRE","NG24 4XG",24,20041,53.073931,-0.811742
"C84030","THE OAKS MEDICAL CENTRE","NG9 2NY",14,10674,52.928123,-1.21527
"C84031","ST PETERS MEDICAL PRACTICE","NG18 1EE",5,2796,53.141699,-1.196468
"C84032","EASTWOOD PRIMARY CARE CENTRE","NG16 3BS",21,19097,53.016064,-1.307753
"C84033","WESTDALE LANE SURGERY","NG4 3JA",13,8459,52.972472,-1.082575
"C84034","CHURCHFIELDS MEDICAL PRACTICE","NG6 0HD",18,9062,52.978865,-1.180398
"C84036","FOREST MEDICAL","NG19 6AB",23,16616,53.14969,-1.205754
"C84037","ABBEY MEDICAL GROUP","NG21 0RB",17,12348,53.100674,-1.119194
"C84039","DERBY ROAD HEALTH CENTRE","NG7 2DW",21,12002,52.950705,-1.177031
"C84042","SAXON CROSS SURGERY","NG9 8DA",18,7436,52.931099,-1.273642
"C84043","LEEN VIEW SURGERY","NG6 8QJ",15,9585,52.998051,-1.196589
"C84044","DEER PARK FAMILY MEDICAL PRACTICE","NG8 2GR",11,10521,52.948921,-1.229777
"C84045","COLLINGHAM MEDICAL CENTRE","NG23 7LB",13,7568,53.145808,-0.76015
"C84046","CLIFTON MEDICAL PRACTICE","NG11 8EW",19,8429,52.903864,-1.176253
"C84047","THE CALVERTON PRACTICE","NG14 6FP",21,9675,53.037134,-1.081907
"C84049","SOUTHWELL MEDICAL CENTRE","NG25 0AL",15,12451,53.081356,-0.955455
"C84051","ORCHARD MEDICAL PRACTICE","NG18 5GG",24,19599,53.141121,-1.206764
"C84053","TORKARD HILL MEDICAL CTRE","NG15 6DY",16,15885,53.029901,-1.207389
"C84055","HIGHCROFT SURGERY","NG5 7BQ",18,11494,53.00411,-1.12882
"C84057","PLEASLEY SURGERY","NG19 7PE",7,3852,53.175809,-1.250873
"C84059","SHERWOOD MEDICAL PARTNERSHIP","NG19 0FW",19,11860,53.157488,-1.137878
"C84060","RIVERGREEN MEDICAL CENTRE","NG11 8AD",15,9014,52.906109,-1.175597
"C84061","KING'S MEDICAL CENTRE","NG17 1AT",6,8873,53.123444,-1.263456
"C84063","GREENDALE PRIMARY CARE CENTRE","NG3 7DQ",13,8714,52.956552,-1.118567
"C84064","PARKSIDE MEDICAL CENTRE","NG6 8QJ",8,8403,52.998051,-1.196589
"C84065","ABBEY MEDICAL CENTRE","NG9 2QP",13,5380,52.933114,-1.21993
"C84066","DAYBROOK MEDICAL PRACTICE","NG5 6HP",11,10899,53.001513,-1.140138
"C84067","ASHFIELD HOUSE (ANNESLEY)","NG17 9JB",7,6056,53.07651,-1.256047
"C84069","ROUNDWOOD SURGERY","NG18 1QQ",14,13634,53.147336,-1.200505
"C84072","THE WELLSPRING SURGERY","NG3 3GG",18,10248,52.962324,-1.136804
"C84074","FAMILY MEDICAL CENTRE (KIRKBY)","NG17 7DG",7,4406,53.106842,-1.236479
"C84076","KIRKBY HEALTH CENTRE","NG17 7LG",13,4034,53.100331,-1.244584
"C84077","BRIERLEY PARK MEDICAL GROUP","NG17 2NF",21,9321,53.128813,-1.297946
"C84078","HUCKNALL ROAD MEDICAL CENTRE","NG5 1NA",27,13336,52.989991,-1.168102
"C84080","THE MANOR SURGERY","NG9 1GA",18,13123,52.925036,-1.216371
"C84081","JOHN RYLE MEDICAL PRACTICE","NG11 8EW",7,6378,52.903864,-1.176253
"C84084","RADCLIFFE-ON-TRENT. HEALTH CENTRE","NG12 2GD",12,8191,52.946139,-1.03822
"C84085","VICTORIA AND MAPPERLEY PRACTICE","NG1 3LW",17,10305,52.957323,-1.146416
"C84086","ST GEORGES MED PRACTICE","NG2 7PG",14,13289,52.930754,-1.132346
"C84087","RAINWORTH HEALTH CENTRE","NG21 0AD",8,6081,53.116754,-1.118803
"C84090","MUSTERS MEDICAL PRACTICE","NG2 7SD",12,9806,52.930476,-1.144908
"C84091","ASPLEY MEDICAL CENTRE","NG8 5RU",15,8622,52.971943,-1.204191
"C84092","BRIDGEWAY PRACTICE","NG2 2JG",6,4880,52.943574,-1.147343
"C84095","OAKENHALL MEDICAL PRACT","NG15 7UA",11,7135,53.036617,-1.199437
"C84103","THE FOREST PRACTICE","NG7 5HY",10,4265,52.964495,-1.171945
"C84105","FAIRFIELDS PRACTICE","NG7 5HY",18,6986,52.964495,-1.171945
"C84106","MILLVIEW SURGERY","NG18 5PF",12,8458,53.144123,-1.203958
"C84107","THE LINDEN MEDICAL GROUP","NG9 8DA",18,7621,52.931099,-1.273642
"C84112","BRAMCOTE SURGERY","NG9 3HF",9,3674,52.935604,-1.244985
"C84113","MAJOR OAK MEDICAL PRACTICE","NG21 9QS",5,6985,53.193988,-1.06422
"C84114","SKEGBY FAMILY MEDICAL CENTRE","NG17 3EE",8,9097,53.142337,-1.273344
"C84115","PLAINS VIEW SURGERY","NG3 5LB",11,7786,52.98613,-1.119038
"C84116","MELBOURNE PARK MEDICAL CENTRE","NG8 5HL",11,8695,52.975767,-1.192728
"C84117","RADFORD MEDICAL PRACTICE (KAUR)","NG7 3GW",12,23036,52.956339,-1.167635
"C84120","CHILWELL VALLEY AND MEADOWS PRACTICE","NG9 6DX",30,15486,52.90539,-1.242031
"C84122","WOLLATON PARK MEDICAL CENTRE","NG8 1FG",17,9485,52.953471,-1.195033
"C84123","BILSTHORPE SURGERY","NG22 8QB",10,3656,53.141866,-1.032629
"C84127","RIVERBANK MEDICAL SERVICES","NG20 0BP",4,4577,53.207243,-1.152629
"C84129","RISE PARK SURGERY","NG5 5EB",12,9155,53.011477,-1.174951
"C84131","NEWTHORPE MEDICAL PRACTICE","NG16 3HU",11,7698,53.012137,-1.298677
"C84135","QUEENS BOWER SURGERY","NG5 5RB",3,41,53.005356,-1.150777
"C84136","ST. LUKE'S SURGERY","NG7 3GW",4,5165,52.956339,-1.167635
"C84138","SPRINGFIELD MEDICAL CENTRE","NG6 8ED",3,2488,53.003529,-1.19559
"C84140","LOWMOOR ROAD SURGERY","NG17 7BG",3,5095,53.100062,-1.244634
"C84142","SELSTON SURGERY","NG16 6BT",4,5090,53.070196,-1.299871
"C84144","MEADOWS HEALTH CENTRE (LARNER)","NG2 2JG",6,4402,52.943574,-1.147343
"C84150","UNITY SURGERY","NG3 6EU",4,4143,52.980422,-1.103411
"C84151","THE MEDICAL CENTRE (IRFAN)","NG7 7DS",4,2939,52.977238,-1.172279
"C84605","CASTLE HEALTHCARE PRACTICE","NG2 7SD",24,16984,52.930476,-1.144908
"C84613","JUBILEE PARK MEDICAL PARTNERSHIP","NG4 3DQ",16,12590,52.967784,-1.084732
"C84619","TUDOR HOUSE MEDICAL PRACTICE","NG5 3HU",6,6798,52.990437,-1.14974
"C84621","WEST BRIDGFORD MEDICAL CENTRE","NG2 7PX",10,4539,52.92973,-1.13217
"C84624","HAMA MEDICAL CENTRE","NG16 2NB",8,5257,52.996137,-1.251856
"C84628","SHERWOOD RISE MEDICAL CENTRE","NG7 7AD",9,7191,52.97426,-1.162019
"C84629","HEALTH CARE COMPLEX, KIRKBY","NG17 7BG",4,4330,53.100062,-1.244634
"C84637","SANDY LANE SURGERY","NG18 2LT",6,6264,53.147091,-1.182896
"C84646","THE IVY MEDICAL GROUP","NG14 5BG",12,7126,52.988147,-1.041307
"C84647","BILBOROUGH SURGERY","NG8 4FD",4,6,52.964055,-1.227723
"C84654","JACKSDALE MEDICAL CENTRE","NG16 5JW",6,4197,53.058873,-1.336566
"C84656","HILL VIEW SURGERY","NG21 0JP",7,7814,53.118999,-1.107641
"C84658","MEDEN MEDICAL SERVICES","NG20 0BP",10,6071,53.207243,-1.152629
"C84660","HOUNSFIELD SURGERY","NG23 6PX",6,4400,53.183702,-0.811033
"C84664","WELBECK SURGERY","NG5 2JJ",9,4927,52.979752,-1.147657
"C84667","GILTBROOK SURGERY","NG16 2GE",7,5014,53.007402,-1.284166
"C84676","GREENFIELDS MEDICAL CENTRE (YVS RAO)","NG7 6ER",5,7289,52.966506,-1.168583
"C84679","ACORN MEDICAL PRACTICE","NG18 1QA",5,3663,53.146999,-1.202512
"C84682","SHERRINGTON PARK MEDICAL PRACTICE","NG5 2EJ",3,4788,52.97468,-1.150216
"C84683","THE WINDMILL PRACTICE","NG2 4PJ",18,10405,52.951951,-1.13475
"C84691","HIGHGREEN PRACTICE (KHAN)","NG7 5HY",4,8563,52.964495,-1.171945
"C84693","BAKERSFIELD MEDICAL CENTRE","NG3 7EJ",3,5373,52.960243,-1.10454
"C84694","LIME TREE SURGERY","NG8 6AB",6,3940,52.982357,-1.196805
"C84695","THE ALICE MEDICAL CENTRE","NG5 5HW",4,3763,52.994893,-1.162245
"C84696","WEST OAK SURGERY","NG3 6EW",6,5468,52.981614,-1.107646
"C84703","THE GAMSTON MEDICAL CTR.","NG2 6PS",15,6295,52.924252,-1.100495
"C84704","JRB HEALTHCARE BEECHDALE SURGERY","NG8 3LF",4,6203,52.961486,-1.198112
"C84705","HICKINGS LANE MEDICAL CTR","NG9 8PN",8,6535,52.936258,-1.264431
"C84714","SUNRISE MEDICAL PRACTICE","NG11 8NS",4,6904,52.911636,-1.18315
"C84717","RIVERLYN MEDICAL CENTRE","NG6 9AA",5,2985,52.999987,-1.195659
"C84720","NOTSPAR","NG7 2GW",4,41,52.947954,-1.183151
"Y00026","THE OM SURGERY","NG15 7JP",2,2175,53.034978,-1.2057
"Y02847","PARLIAMENT STREET MEDICAL CENTRE","NG1 6LD",24,7719,52.954624,-1.152649
"Y03124","GRANGE FARM MEDICAL CENTRE","NG8 4HQ",22,6157,52.960227,-1.235252
"Y05369","BALDERTON SURGERY","NG24 3HJ",4,6250,53.052881,-0.786468
"Y05622","SOUTHGLADE MEDICAL PRACTICE","NG5 5GU",5,4392,52.99873,-1.17363
"Y05690","KIRKBY COMMUNITY PRIMARY CARE CENTRE (3)","NG17 7AE",7,6910,53.10176,-1.248741
"Y06356","BILBOROUGH MEDICAL CENTRE","NG8 4PN",12,10784,52.963966,-1.231062
"Y06443","WHYBURN MEDICAL PRACTICE","NG15 7JE",10,12463,53.035376,-1.206141
"Y06507","PEACOCK HEALTHCARE","NG4 1JA",5,5599,52.965774,-1.11357
"Y06792","BROAD OAK MEDICAL PRACTICE","NG8 6LN",3,6002,52.973231,-1.227726
"H82003","MEADOWS SURGERY","RH15 9XN",17,9548,50.962136,-0.151765
"H82004","COWFOLD SURGERY","RH13 8DN",9,4811,50.989053,-0.273407
"H82005","CUCKFIELD MEDICAL CENTRE","RH17 5BQ",18,12357,51.009425,-0.136629
"H82006","THE PETWORTH SURGERY","GU28 0LP",11,6037,50.983365,-0.607135
"H82007","WESTCOURT MEDICAL CENTRE","BN16 3NX",18,13259,50.81149,-0.513745
"H82009","ST. LAWRENCE SURGERY","BN14 7JL",22,15828,50.823979,-0.390026
"H82011","STRAND MEDICAL GROUP","BN12 6FA",17,15441,50.818463,-0.41094
"H82012","LEACROFT MEDICAL PRACTICE","RH11 7TF",17,12374,51.126566,-0.196029
"H82013","LANGLEY HOUSE SURGERY","PO19 1RW",19,12811,50.837059,-0.78328
"H82014","COPPICE SURGERY","BN16 3BE",15,12893,50.813155,-0.500448
"H82016","BERSTED GREEN SURGERY","PO22 9TD",20,13598,50.798078,-0.681813
"H82017","PARK SURGERY","RH12 1BG",31,23558,51.064354,-0.327381
"H82020","BOGNOR MEDICAL CENTRE","PO21 1UT",19,9191,50.783629,-0.67724
"H82021","ARUNDEL SURGERY","BN18 9HG",12,6624,50.852881,-0.567268
"H82022","STEYNING HEALTH CENTRE","BN44 3RJ",20,12066,50.890666,-0.329972
"H82023","ADUR HEALTH PARTNERSHIP","BN43 5US",56,36432,50.833817,-0.27437
"H82025","WOODLANDS&CLERKLANDS PARTNERSHIP","RH10 5BW",19,16077,51.103758,-0.184861
"H82026","SAXONBROOK MEDICAL CENTRE","RH10 7QH",20,18467,51.10739,-0.153421
"H82027","RUDGWICK MEDICAL CENTRE","RH12 3HB",13,3985,51.090073,-0.450643
"H82028","THE COURTYARD SURGERY","RH12 1AT",19,13706,51.065411,-0.328342
"H82030","PULBOROUGH MEDICAL GROUP","RH20 1FG",23,13091,50.961138,-0.509104
"H82031","LOXWOOD SURGERY","RH14 0SU",15,6344,51.072644,-0.515744
"H82032","RIVERBANK MEDICAL CENTRE","GU29 9AW",20,12921,50.993474,-0.735087
"H82033","GOSSOPS GREEN MEDICAL CTR","RH11 8TY",10,7311,51.107248,-0.21648
"H82034","LIME TREE SURGERY","BN14 0DL",36,27586,50.848816,-0.395859
"H82035","LINDFIELD MEDICAL CENTRE","RH16 2HX",18,11488,51.013024,-0.08174
"H82036","ORCHARD SURGERY","RH12 1PJ",10,9083,51.062192,-0.332753
"H82037","SELSEY MEDICAL PRACTICE","PO20 0QG",25,12715,50.733269,-0.791781
"H82038","FLANSHAM PARK HEALTH CENTRE","PO22 6DH",21,13436,50.794855,-0.629205
"H82039","PARK SURGERY","BN17 6BF",20,11101,50.808759,-0.531673
"H82040","MODALITY MID SUSSEX","RH10 4HY",34,31882,51.122557,-0.077621
"H82041","VICTORIA ROAD SURGERY","BN11 1XE",15,13438,50.816915,-0.376837
"H82042","CATHEDRAL MEDICAL GROUP","PO19 1XT",22,13595,50.832176,-0.77643
"H82043","GROVE HOUSE SURGERY","PO21 4JB",15,11534,50.781766,-0.718202
"H82044","DOLPHINS PRACTICE","RH16 4BN",27,11049,51.000201,-0.116076
"H82045","WORTHING MEDICAL GROUP","BN11 4BS",34,20923,50.811423,-0.377041
"H82046","BROADWATER MEDICAL CENTRE","BN14 8JE",14,12311,50.827649,-0.374675
"H82047","BRIDGE MEDICAL CENTRE","RH10 1LL",12,11407,51.117364,-0.166439
"H82048","AVISFORD MEDICAL GROUP","BN18 0DU",20,11166,50.822687,-0.61388
"H82049","PARKLANDS SURGERY","PO19 3DT",18,10523,50.838937,-0.78752
"H82050","IFIELD MEDICAL PRACTICE","RH11 0BF",11,9904,51.121212,-0.211928
"H82051","LAVANT ROAD SURGERY","PO19 5RH",15,11952,50.853385,-0.781051
"H82052","POUND HILL MEDICAL GROUP","RH10 7DX",19,16549,51.118813,-0.156409
"H82053","FURNACE GREEN SURGERY","RH10 6JN",12,7150,51.107082,-0.172546
"H82055","BILLINGSHURST SURGERY","RH14 9QZ",18,13656,51.024981,-0.445798
"H82056","NEWTONS PRACTICE","RH16 3BB",23,13606,51.000679,-0.103899
"H82057","MID SUSSEX HEALTH CARE","BN6 9UQ",24,20562,50.933719,-0.175279
"H82058","MAYWOOD HEALTH CARE CENTRE","PO21 2UW",14,16149,50.786664,-0.693582
"H82059","WILLOW GREEN SURGERY","BN16 3AH",14,10896,50.814625,-0.49099
"H82060","HENFIELD MEDICAL CENTRE","BN5 9JQ",20,10215,50.936107,-0.275597
"H82061","SELDEN MEDICAL CENTRE","BN11 2LL",10,8701,50.813513,-0.359296
"H82063","MOATFIELD SURGERY","RH19 3GW",20,15224,51.131681,-0.013038
"H82064","SOUTHGATE MEDICAL GROUP","RH10 6TE",14,10087,51.102316,-0.194559
"H82065","BALL TREE SURGERY","BN15 9UX",29,14175,50.831767,-0.338832
"H82066","FITZALAN MEDICAL GROUP","BN17 5JR",20,15949,50.80654,-0.537647
"H82067","TANGMERE MEDICAL CENTRE","PO20 2HS",3,6568,50.851023,-0.71845
"H82070","GLEBE SURGERY","RH20 4FR",13,13261,50.918032,-0.458843
"H82072","SILVERDALE PRACTICE","RH15 0EF",22,13464,50.952843,-0.121708
"H82076","CORNERWAYS SURGERY","BN11 5RZ",4,3661,50.81566,-0.404519
"H82077","THE CROFT SURGERY","PO20 3RP",9,11592,50.841375,-0.657769
"H82078","SOUTHBOURNE SURGERY","PO10 8JH",17,10878,50.84492,-0.903214
"H82084","BROW MEDICAL CENTRE","RH15 9BS",13,6516,50.955587,-0.135481
"H82087","BARN SURGERY","BN12 5HJ",10,4132,50.813953,-0.447347
"H82088","BEWBUSH MEDICAL CENTRE","RH11 8XT",4,6932,51.104195,-0.223311
"H82089","RIVERSIDE MEDICAL PRACTICE","RH12 1UD",14,8188,51.061032,-0.335963
"H82091","NEW POND ROW SURGERY","BN15 8AN",14,8296,50.824911,-0.322292
"H82092","VILLAGE SURGERY","RH13 9HQ",17,9722,51.023691,-0.350376
"H82095","WITTERINGS MEDICAL CENTRE","PO20 8BH",17,10668,50.770006,-0.87449
"H82096","THE ORCHARD SURGERY","BN15 9AG",5,6297,50.828062,-0.324352
"H82098","COACHMANS MEDICAL PRACTICE","RH11 9JA",21,10819,51.096335,-0.203875
"H82099","WEST MEADS SURGERY","PO21 5SB",11,7712,50.788299,-0.701481
"H82100","NORTHLANDS WOOD SURGERY","RH16 3TG",10,8005,50.996531,-0.081209
"H82615","OUSE VALLEY PRACTICE","RH17 6HB",17,8269,51.060237,-0.201706
"H82640","HOLBROOK SURGERY","RH12 5JL",13,16413,51.08383,-0.30035
"Y00351","LANGLEY CORNER SURGERY","RH11 0NF",19,11684,51.125723,-0.212611
"C82076","THE WELBY PRACTICE","NG13 0AN",22,7312,52.942346,-0.804504
"C83001","HEART OF LINCOLN HEALTH GROUP","LN5 7LB",21,11684,53.22372,-0.539074
"C83002","NAVENBY CLIFF VILLAGES SURGERY","LN5 0JJ",10,8513,53.103518,-0.526297
"C83003","BEECHFIELD MEDICAL CENTRE","PE11 1UN",15,19470,52.787253,-0.145012
"C83004","LIQUORPOND SURGERY","PE21 8UE",13,11406,52.9735,-0.025925
"C83005","SPILSBY SURGERY","PE23 5LG",12,7464,53.173049,0.098963
"C83007","LAKESIDE HEALTHCARE STAMFORD","PE9 1YA",36,29599,52.656186,-0.46778
"C83008","SWINGBRIDGE SURGERY","NG31 7XT",10,6820,52.901355,-0.662707
"C83009","LINDUM MEDICAL PRACTICE","LN2 2JP",13,9183,53.247612,-0.523873
"C83010","PARKSIDE MEDICAL CENTRE","PE21 6PF",19,17488,52.981526,-0.021998
"C83011","MILLVIEW MEDICAL CENTRE","NG34 9QP",13,11283,52.981326,-0.30904
"C83013","RUSKINGTON SURGERY","NG34 9GQ",7,7943,53.048226,-0.400977
"C83014","BOULTHAM PARK MEDICAL PRACTICE","LN6 7SS",15,10044,53.211134,-0.560497
"C83015","SWINESHEAD SURGERY","PE20 3JE",10,8568,52.940616,-0.158921
"C83018","CLEVELAND SURGERY","DN21 2UQ",20,12335,53.411776,-0.780581
"C83019","BEACON MEDICAL PRACTICE","PE25 2RN",21,19930,53.157661,0.331229
"C83020","CAYTHORPE & ANCASTER MEDICAL PRACTICE","NG32 3PP",20,9574,52.981851,-0.536327
"C83022","MUNRO MEDICAL CENTRE","PE11 2BY",14,20566,52.794037,-0.147427
"C83023","SLEAFORD MEDICAL GROUP","NG34 7HD",14,17378,52.997807,-0.406501
"C83024","THE GLENSIDE COUNTRY PRACTICE","NG33 4RZ",9,3311,52.75451,-0.537958
"C83025","RICHMOND MEDICAL CENTRE","LN6 9AY",12,18004,53.187597,-0.596905
"C83026","THE DEEPINGS PRACTICE","PE6 8DD",36,23872,52.683726,-0.316194
"C83027","HORNCASTLE MEDICAL GROUP","LN9 6AL",15,9549,53.208154,-0.107668
"C83028","HOLBEACH MEDICAL CENTRE","PE12 7EE",8,7846,52.804623,0.015639
"C83029","BRANSTON & HEIGHINGTON FAMILY PRACTICE","LN4 1LH",7,5640,53.195831,-0.467988
"C83030","BILLINGHAY MEDICAL PRACTICE","LN4 4AU",7,4952,53.078684,-0.277966
"C83031","NETTLEHAM MEDICAL PRACTICE","LN2 2RS",27,12206,53.262865,-0.476253
"C83032","MERTON LODGE SURGERY","LN13 9HT",13,7524,53.259654,0.173148
"C83033","HIBALDSTOW MEDICAL PRACTICE","DN20 9ED",6,3536,53.510462,-0.525672
"C83035","HEREWARD MEDICAL CENTRE","PE10 9XR",26,12002,52.768626,-0.380913
"C83036","GOSBERTON MEDICAL CENTRE","PE11 4NL",8,7423,52.869915,-0.159263
"C83037","WELTON FAMILY HEALTH CENTRE","LN2 3JH",13,9526,53.306584,-0.484843
"C83038","THE GLEBE PRACTICE","LN1 2NU",17,8170,53.270911,-0.670912
"C83039","MOULTON MEDICAL CENTRE","PE12 6QB",9,5594,52.79766,-0.062945
"C83040","ST. PETERS HILL SURGERY","NG31 6QA",16,14831,52.910073,-0.639825
"C83041","THE WOODLAND MEDICAL PRACTICE","LN6 0QQ",10,7940,53.215749,-0.605376
"C83042","MARSH MEDICAL PRACTICE","LN11 7QU",12,6472,53.445069,0.143689
"C83043","MARKET RASEN SURGERY","LN8 3BP",20,10517,53.384411,-0.340806
"C83044","CASKGATE STREET SURGERY","DN21 2DJ",10,11766,53.399191,-0.777679
"C83045","HAWTHORN MEDICAL PRACTICE","PE25 3TD",16,17846,53.14149,0.31999
"C83046","THE HEATH SURGERY","LN4 2LA",8,5814,53.196507,-0.535298
"C83048","ST. JOHNS MEDICAL CENTRE","NG31 6HR",17,14054,52.907054,-0.63813
"C83049","DR SINHA & PARTNERS","PE22 9LE",14,8470,53.030138,0.100204
"C83051","ABBEY MEDICAL PRACTICE","LN2 5HR",13,7826,53.23058,-0.530811
"C83052","THE INGHAM SURGERY","LN1 2XF",4,3587,53.336616,-0.577108
"C83053","COLSTERWORTH SURGERY","NG33 5NJ",6,2623,52.806388,-0.619356
