"","CODE","NAME","POSTCODE","Number_of_Practitioners","NUMBER_OF_PATIENTS"
"3315","D82080","BLOFIELD SURGERY","NR13 4PL",13,7747
"3316","D82084","HARLESTON MEDICAL PRACTICE","IP20 9AT",8,7949
"3317","D82085","HINGHAM SURGERY","NR9 4JB",14,6820
"3318","D82087","PROSPECT MEDICAL PRACTICE","NR3 2HW",16,6805
"3319","D82088","UEA MEDICAL CENTRE","NR4 7TJ",33,20548
"3320","D82096","WOODCOCK RD SURGERY","NR3 3UA",10,8255
"3321","D82099","SOUTHGATES SURGICAL & MEDICAL CENTRE","PE30 5QX",26,17195
"3322","D82100","SHIPDHAM SURGERY","IP25 7LA",8,4307
"3323","D82104","ACLE MEDICAL PARTNERSHIP","NR13 3RA",17,9480
"3324","D82105","ST CLEMENTS SURGERY","PE34 4LZ",8,6795
"3325","D82106","WEST POTTERGATE MED PRAC","NR2 4BX",6,4841
"3326","D82600","FLEGGBURGH SURGERY","NR29 3AW",7,2015
"3327","D82604","BOUGHTON SURGERY","PE33 9AG",6,3201
"3328","D82618","THE WOOTTONS SURGERY","PE30 3PT",27,5968
"3329","D82621","PLOWRIGHT MEDICAL CENTRE","PE37 7HJ",12,6080
"3330","D82624","WINDMILL SURGERY","NR18 0AF",25,6922
"3331","D82628","ALDBOROUGH SURGERY","NR11 7NP",6,3736
"3332","D83002","ALEXANDRA & CRESTVIEW SURGERIES","NR32 1PL",19,14860
"3333","D83009","BECCLES MEDICAL CENTRE","NR34 9NX",26,19662
"3334","D83010","LONGSHORE SURGERIES","NR33 7QA",14,6445
"3335","D83011","BRIDGE ROAD SURGERY","NR32 3LJ",13,12271
"3336","D83016","VICTORIA ROAD SURGERY","NR33 9LU",13,10898
"3337","D83022","SOLE BAY H/C","IP18 6GY",8,5359
"3338","D83023","HIGH STREET SURGERY","NR32 1JE",11,12645
"3339","D83030","KIRKLEY MILL HEALTH CENTRE","NR33 0HF",12,6598
"3340","D83034","BUNGAY MEDICAL CENTRE","NR35 1LP",25,11379
"3341","D83035","CUTLERS HILL SURGERY","IP19 8SG",15,10501
"3342","D83047","ROSEDALE SURGERY","NR33 8LG",26,15364
"3343","D83608","ANDAMAN SURGERY","NR33 9DF",10,6628
"3344","Y00297","THE HOLLIES SURGERY","PE38 9JE",5,4745
"3345","Y01690","SCHOOL LANE PMS PRACTICE","IP24 2AG",18,5385
"3346","Y02751","NORWICH PRACTICES HEALTH CENTRE","NR1 1RB",22,10639
"3347","Y03222","ST JOHN'S SURGERY","PE14 7RR",8,6190
"3348","Y03595","BEECHCROFT AND OLD PALACE","NR5 0RS",22,6825
"3349","Y05291","TOFTWOOD MEDICAL CENTRE","NR19 1LD",7,3752
"3350","Y06275","NELSON MEDICAL CENTRE","NR31 0DW",22,6244
"3351","N81001","AUDLEM MEDICAL PRACTICE","CW3 0AH",8,5019
"3352","N81002","KENMORE MEDICAL CENTRE","SK9 1PA",21,12711
"3353","N81005","HELSBY HEALTH CENTRE","WA6 0BW",12,9812
"3354","N81006","BUNBURY MEDICAL PRACTICE","CW6 9PE",8,5346
"3355","N81008","THE CEDARS MEDICAL CENTRE","ST7 2LU",15,10593
"3356","N81009","HEATH LANE MEDICAL CENTRE","CH3 5UJ",9,7570
"3357","N81010","NANTWICH HEALTH CENTRE","CW5 5NX",11,7249
"3358","N81013","HIGH STREET SURGERY","SK11 6JL",10,7507
"3359","N81016","MILLCROFT MEDICAL CENTRE","CW1 3AW",22,30297
"3360","N81018","TARPORLEY HEALTH CENTRE","CW6 0BE",10,8113
"3361","N81022","MIDDLEWOOD PARTNERSHIP","SK10 5JH",39,33890
"3362","N81024","SWANLOW MEDICAL CENTRE","CW7 1AT",15,10451
"3363","N81025","FIRDALE MEDICAL CENTRE","CW8 4AZ",12,9821
"3364","N81027","READESMOOR MEDICAL GROUP PRACTICE","CW12 1JP",15,14111
"3365","N81029","SOUTH PARK SURGERY","SK11 6JL",19,12809
"3366","N81030","PRINCEWAY SURGERIES","WA6 6RX",20,17488
"3367","N81031","DRS ADEY AND DANCY","CW6 0BE",8,5911
"3368","N81032","ASHFIELDS PRIMARY CARE CENTRE","CW11 1EQ",34,26860
"3369","N81033","ALDERLEY EDGE MEDICAL CENTRE","SK9 7EP",12,8667
"3370","N81034","BOUGHTON MEDICAL GROUP","CH2 3DP",15,12896
"3371","N81038","LAUREL BANK SURGERY","SY14 8PS",11,7572
"3372","N81039","OAKLANDS","CW10 9BE",13,11176
"3373","N81040","HIGH STREET PRACTICE WINSFORD","CW7 1AT",10,6560
"3374","N81043","HASLINGTON SURGERY","CW1 5QY",4,5816
"3375","N81044","HUNGERFORD MEDICAL CENTRE","CW1 5HA",11,10279
"3376","N81046","PARK MEDICAL CENTRE","CH2 3RD",13,10166
"3377","N81047","THE KILTEARN MEDICAL CTR.","CW5 5NX",17,13266
"3378","N81049","KNUTSFORD MEDICAL PARTNERSHIP","WA16 0LY",28,23008
"3379","N81050","GREAT SUTTON MEDICAL CENTRE","CH66 3SP",20,20181
"3380","N81051","THE WEAVERHAM SURGERY","CW8 3EU",7,7332
"3381","N81052","LAWTON HOUSE SURGERY","CW12 1QG",16,11787
"3382","N81053","EARNSWOOD MEDICAL CENTRE","CW1 3AW",21,16551
"3383","N81055","WATLING STREET SURGERY","CW9 5EX",8,7309
"3384","N81060","NESTON SURGERY","CH64 4BN",16,9241
"3385","N81061","WITTON STREET SURGERY","CW9 5QU",12,8513
"3386","N81062","CUMBERLAND HOUSE SURGERY","SK11 6JL",26,15386
"3387","N81063","YORK ROAD GROUP PRACTICE","CH65 0DB",15,11709
"3388","N81067","OAKWOOD MEDICAL CENTRE","CW8 4LF",9,9257
"3389","N81068","GROSVENOR MEDICAL CENTRE","CW1 3HB",21,14695
"3390","N81069","CHELFORD SURGERY","SK11 9BS",11,4383
"3391","N81070","HANDFORTH HEALTH CENTRE","SK9 3HL",16,9810
"3392","N81071","GREENMOSS MEDICAL CENTRE","ST7 3BT",6,4729
"3393","N81074","LAUNCESTON CLOSE SURGERY","CW7 1LY",5,5324
"3394","N81077","THE HEALTH CENTRE (HOLMES CHAPEL)","CW4 7BB",18,12835
"3395","N81079","THE ELMS MEDICAL CENTRE","CH1 4DS",16,9487
"3396","N81080","NORTHGATE MEDICAL CENTRE","CH1 4DS",16,8164
"3397","N81081","GARDEN LANE MEDICAL CTR.","CH1 4EN",17,9808
"3398","N81082","CITY WALLS MEDICAL CENTRE","CH1 2NR",30,15787
"3399","N81084","ROPE GREEN MEDICAL CENTRE","CW2 5DA",22,19175
"3400","N81085","PARK LANE SURGERY","SK11 6JL",20,9122
"3401","N81086","WILMSLOW HEALTH CENTRE","SK9 5HX",15,14205
"3402","N81087","DANEBRIDGE MEDICAL CENTRE","CW9 5HR",37,24804
"3403","N81088","PARK GREEN SURGERY","SK11 6JL",18,11338
"3404","N81090","TUDOR SURGERY","CW5 5NX",8,4592
"3405","N81092","HOPE FARM MEDICAL CENTRE","CH66 2WW",16,12928
"3406","N81093","WHITBY HEALTH PARTNERSHIP","CH65 6TG",23,16058
"3407","N81100","UPTON VILLAGE SURGERY","CH2 1HD",10,7450
"3408","N81101","THE HANDBRIDGE MED.CTR.","CH4 7JS",8,7521
"3409","N81102","FOUNTAINS MEDICAL PRACTICE","CH1 4DS",15,3502
"3410","N81111","MEREPARK MEDICAL CENTRE","ST7 2LU",8,6873
"3411","N81113","MIDDLEWICH ROAD SURGERY","CW9 7DB",12,7209
"3412","N81115","LACHE HEALTH CENTRE","CH4 8HX",11,7308
"3413","N81117","OLD HALL SURGERY","CH65 9AD",17,5702
"3414","N81118","MEADOWSIDE MEDICAL CENTRE","CW12 1DY",9,8157
"3415","N81120","KELSALL MEDICAL CENTRE","CW6 0QG",11,5490
"3416","N81121","NORTHGATE VILLAGE SURGERY","CH1 4DS",9,6722
"3417","N81123","WILLOW WOOD SURGERY","CW7 3GY",7,6596
"3418","N81125","NESTON MEDICAL CENTRE","CH64 3RA",9,7446
"3419","N81127","THE WEAVER VALE SURGERY","CW7 1AT",15,8043
"3420","N81607","WESTMINSTER SURGERY","CH65 2ER",9,3311
"3421","N81614","THE SURGERY","CW5 8EW",6,5017
"3422","N81624","THE VILLAGE SURGERIES GROUP","CH3 9RE",11,8642
"3423","N81626","WESTERN AVE MEDICAL CTRE","CH1 5PA",7,4248
"3424","N81632","BROKEN CROSS SURGERY","SK11 6JL",8,5707
"3425","N81642","WATERS EDGE MEDICAL CENTRE","CW10 9BH",10,4723
"3426","N81655","ST WERBURGH'S MEDICAL PRACTICE HOMELESS","CH1 3EQ",6,336
"3427","Y02045","VERNOVA HEALTHCARE CIC","SK11 6JL",4,9
"3428","Y04664","THE WILLASTON SURGERY","CH64 2TN",1,4427
"3429","Y05750","DAVID LEWIS MEDICAL PRACTICE","SK9 7UD",5,128
"3430","B82007","TOWNHEAD SURGERY","BD24 9JA",24,9545
"3431","B82053","DYNELEY HOUSE SURGERY","BD23 2HZ",29,13354
"3432","B83002","ILKLEY & WHARFEDALE MEDICAL PRACTICE","LS29 8TQ",9,5086
"3433","B83005","THORNBURY MEDICAL PRACTICE","BD3 7HZ",8,6820
"3434","B83008","LING HOUSE MEDICAL CENTRE","BD21 2JH",18,12401
"3435","B83009","SUNNYBANK & COWGILL MEDICAL PRACTICE","BD12 9NG",22,15306
"3436","B83010","PARKLANDS MEDICAL PRACTICE","BD6 2DD",15,10164
"3437","B83012","MANOR MEDICAL PRACTICE","BD8 9PB",10,10595
"3438","B83014","BINGLEY MEDICAL PRACTICE","BD16 4RP",27,13137
"3439","B83015","TONG MEDICAL PRACTICE","BD4 9QA",10,8780
"3440","B83016","FARROW MEDICAL CENTRE","BD3 0HX",12,7481
"3441","B83017","HORTON BANK PRACTICE","BD7 4PL",5,7891
"3442","B83018","IDLE MEDICAL CENTRE","BD10 8RU",31,12310
"3443","B83019","GRANGE PARK SURGERY","LS29 7HG",19,6903
"3444","B83020","THE WILLOWS MEDICAL PRACTICE","BD13 2GD",34,8578
"3445","B83021","FARFIELD GROUP PRACTICE","BD21 2LD",9,12975
"3446","B83022","BAILDON MEDICAL PRACTICE","BD17 5NH",17,9239
"3447","B83023","HOLYCROFT SURGERY","BD21 1SA",10,9758
"3448","B83025","LITTLE HORTON LANE MEDICAL CENTRE - RAJA","BD5 0NX",4,4308
"3449","B83026","PRIMROSE SURGERY","BD3 0BS",7,5663
"3450","B83028","WIBSEY & QUEENSBURY MED P","BD6 1TD",11,10824
"3451","B83029","LOW MOOR SURGERY","BD12 0TH",13,10262
"3452","B83030","THORNTON & DENHOLME MEDICAL PRACTICE","BD13 3LG",15,9068
"3453","B83031","OAK GLEN SURGERY","BD16 3PA",3,3825
"3454","B83032","BRADFORD MOOR PRACTICE","BD3 8QH",4,3862
"3455","B83033","MODALITY PARTNERSHIP (AWC)","BD21 1LA",102,64466
"3456","B83034","GRANGE MEDICAL CENTRE","BD7 3AH",4,6932
"3457","B83035","HORTON PARK MEDICAL PRACTICE","BD7 3EG",19,10327
"3458","B83037","THE WILSDEN MEDICAL PRACTICE","BD15 0NJ",19,10133
"3459","B83038","LEYLANDS LANE MEDICAL PRACTICE","BD9 5PZ",30,18670
"3460","B83039","THE SALTAIRE & WINDHILL MEDICAL P'SHIP","BD18 1QB",40,24015
"3461","B83041","BOWLING HALL MED PRACTICE","BD4 7SS",15,14441
"3462","B83042","ROOLEY LANE MED. CENTRE","BD4 7SS",11,7986
"3463","B83045","HOLLYNS HEALTH & WELLBEING - CLAYTON","BD14 6NF",26,13373
"3464","B83051","BRADFORD STUDENT HEALTH SERVICE","BD5 0HR",4,8048
"3465","B83052","KENSINGTON PARTNERSHIP","BD8 9LB",16,23738
"3466","B83054","HAIGH HALL MEDICAL PRACTICE","BD10 9AZ",8,6065
"3467","B83055","THE RIDGE MEDICAL PRACT.","BD7 3JX",48,23650
"3468","B83056","MOORSIDE SURGERY","BD2 3AA",17,7851
"3469","B83058","THE AVICENNA MEDICAL PRACTICE","BD3 8QH",11,7672
"3470","B83062","ASHCROFT SURGERY","BD10 0JE",15,8479
"3471","B83063","SHIPLEY MEDICAL PRACTICE-AFFINITY CARE","BD18 3EG",55,20267
"3472","B83064","THE ROCKWELL AND WROSE PRACTICE","BD2 1QG",15,10734
"3473","B83067","THE SPRINGFIELD SURGERY (BINGLEY)","BD16 4RP",9,7687
"3474","B83602","NORTH STREET MEDICAL PRACTICE","BD21 3AU",12,6916
"3475","B83604","THE LISTER SURGERY","BD8 8RA",4,3441
"3476","B83611","NEW OTLEY ROAD MEDICAL PRACTICE","BD3 0BS",4,7462
"3477","B83614","PICTON MEDICAL CENTRE","BD8 8RA",3,9309
"3478","B83617","DR U AKBAR","BD8 9DW",1,2602
"3479","B83620","ADDINGHAM SURGERY","LS29 0LZ",4,3190
"3480","B83621","DR A AZAM & PARTNERS","BD7 3EG",3,4187
"3481","B83622","DR IA GILKAR & PARTNERS","BD8 9LB",4,4974
"3482","B83624","I G MEDICAL","LS29 8TH",33,17825
"3483","B83626","VALLEY VIEW SURGERY","BD2 4RA",6,6516
"3484","B83627","FRIZINGHALL MEDICAL CENTRE","BD9 4LH",7,3744
"3485","B83628","CLARENDON MEDICAL CENTRE","BD8 7RT",3,9082
"3486","B83629","PEEL PARK SURGERY","BD2 4RA",2,3043
"3487","B83641","ASHWELL MEDICAL CENTRE","BD8 9DP",8,7963
"3488","B83642","THE CITY MEDICAL PRACTICE","BD8 9DW",4,3490
"3489","B83653","DR GILKAR","BD5 0NX",8,9122
"3490","B83657","BEVAN COMMUNITY BENEFIT SOCIETY","BD1 3LS",25,5983
"3491","B83659","PARK GRANGE MEDICAL CENTRE","BD7 2BL",2,3438
"3492","B83660","BILTON MEDICAL CENTRE","BD8 8JT",5,6060
"3493","B83661","MOOR PARK MEDICAL PRACTICE","BD3 8QH",3,2955
"3494","Y01118","ECCLESHILL VILLAGE SURGERY","BD2 2HX",1,3345
"3495","Y05180","BRADFORD SAFE HAVEN SERVICE","HD1 9RX",1,61
"3496","H83001","PORTLAND MEDICAL CENTRE","SE25 4QB",22,13440
"3497","H83004","FARLEY ROAD MEDICAL PRACTICE","CR2 7NG",15,11364
"3498","H83005","UPPER NORWOOD GROUP PRACTICE","SE19 2NT",14,15184
"3499","H83006","NEW ADDINGTON GROUP PRACTICE","CR0 0JA",9,11383
"3500","H83007","VIOLET LANE MEDICAL PRACTICE","CR0 4HN",20,10858
"3501","H83008","NORTHWAY ROAD SURGERY","CR0 7LJ",6,3533
"3502","H83009","NORBURY MEDICAL PRACTICE","SW16 4NL",11,10818
"3503","H83010","SOUTH NORWOOD HILL MEDICAL CENTRE","SE25 6BY",6,6738
"3504","H83011","NORTH CROYDON MEDICAL CENTRE","CR7 7HQ",6,6503
"3505","H83012","ST JAMES MEDICAL CENTRE","CR0 2BZ",13,10085
"3506","H83013","OLD COULSDON MEDICAL PRACTICE","CR5 1HF",17,17168
"3507","H83014","QUEENHILL MEDICAL PRACTICE","CR2 8DU",15,7073
"3508","H83015","PARKSIDE GROUP PRACTICE","CR2 6EX",19,13889
"3509","H83016","KESTON MEDICAL PRACTICE","CR8 2YL",27,22336
"3510","H83017","BRIGSTOCK MEDICAL PRACTICE","CR7 7JN",18,14618
"3511","H83018","SELSDON PARK MEDICAL PRACTICE","CR2 8LG",29,12593
"3512","H83019","FRIENDS ROAD MEDICAL PRACTICE","CR0 1ED",5,8222
"3513","H83020","EVERSLEY MEDICAL CENTRE","CR7 6AR",19,10809
"3514","H83021","LONDON ROAD MEDICAL PRACTICE","CR7 6AR",9,5999
"3515","H83022","THORNTON HEATH MEDICAL CENTRE","CR7 8RL",12,6757
"3516","H83023","MORLAND ROAD SURGERY","CR0 6HA",7,6771
"3517","H83024","WOODCOTE MEDICAL","CR8 3EE",22,17688
"3518","H83028","ADDINGTON MEDICAL PRACTICE","CR0 0JA",8,9390
"3519","H83029","HARTLAND WAY SURGERY","CR0 8RG",6,4560
"3520","H83030","BROOM ROAD MEDICAL PRACTICE","CR0 8NG",3,3234
"3521","H83031","HALING PARK MEDICAL PRACTICE","CR2 6AD",16,3571
"3522","H83033","ASHBURTON PARK MEDICAL CENTRE","CR0 7AG",7,3921
"3523","H83034","WHITEHORSE PRACTICE","CR0 2JJ",10,7261
"3524","H83037","AUCKLAND SURGERY","SE19 2DF",13,7417
"3525","H83039","STOVELL HOUSE SURGERY","CR0 6AH",11,7781
"3526","H83040","MITCHLEY AVENUE SURGERY","CR2 9HH",5,4337
"3527","H83042","LEANDER FAMILY PRACTICE","CR7 6JE",9,7818
"3528","H83043","SHIRLEY MEDICAL CENTRE","CR0 8BH",6,7537
"3529","H83044","EAST CROYDON MEDICAL CENTRE","CR0 1FE",25,20280
"3530","H83049","HEADLEY DRIVE SURGERY","CR0 0QL",4,2723
"3531","H83051","THORNTON ROAD & VALLEY PARK SURGERY","CR0 3EW",11,16223
"3532","H83052","BRAMLEY AVENUE SURGERY","CR5 2DR",1,2844
"3533","H83053","PARCHMORE MEDICAL CENTRE","CR7 8LY",30,14900
"3534","H83608","FAMILY PRACTICE GROUP","CR7 7JH",8,6011
"3535","H83609","MERSHAM MEDICAL CENTRE","CR7 8JN",6,4539
"3536","H83611","SELHURST MEDICAL CENTRE","SE25 5QA",5,4682
"3537","H83624","FAIRVIEW MEDICAL CENTRE","SW16 5PX",9,7955
"3538","H83625","BROUGHTON CORNER FAMILY PRACTICE","CR7 6BH",8,3854
"3539","H83627","BIRDHURST MEDICAL PRACTICE","CR2 7DX",11,6684
"3540","H83631","GREENSIDE GROUP PRACTICE","CR0 3PN",10,9233
"3541","H84002","PARK ROAD SURGERY","TW11 0AU",14,12972
"3542","H84005","PARKSHOT MEDICAL PRACTICE","TW9 2RG",25,14691
"3543","H84006","RICHMOND MEDICAL GROUP","SW14 8LP",26,17777
"3544","H84007","ACORN GROUP PRACTICE","TW1 4EA",17,8323
"3545","H84010","CANBURY MEDICAL CENTRE","KT2 6HR",25,9897
"3546","H84012","YORK MEDICAL PRACTICE","TW1 3PA",22,13214
"3547","H84014","PARADISE ROAD SURGERY","TW9 1SA",6,2616
"3548","H84015","BRUNSWICK SURGERY","KT6 6EZ",14,8368
"3549","H84016","GROVES MEDICAL CENTRE","KT3 3TX",48,15852
"3550","H84017","SEYMOUR HOUSE SURGERY","TW9 1UU",16,13619
"3551","H84018","BROAD LANE SURGERY","TW12 3AX",12,5952
"3552","H84020","FAIRHILL MEDICAL PRACTICE","KT2 7PX",25,22148
"3553","H84023","ESSEX HOUSE SURGERY","SW13 0LW",14,11457
"3554","H84025","HOOK SURGERY","KT9 2GY",14,7258
"3555","H84027","CHURCHILL MEDICAL CENTRE","KT2 6PG",31,19339
"3556","H84030","CENTRAL SURGERY","KT6 6EZ",27,13713
"3557","H84031","JUBILEE SURGERY","TW2 6JL",12,5882
"3558","H84032","HAMPTON WICK SURGERY","KT1 4DY",12,9536
"3559","H84033","ST ALBANS MEDICAL CENTRE","KT2 5HF",10,6918
"3560","H84034","ORCHARD PRACTICE","KT9 1AG",20,8664
"3561","H84039","CROSS DEEP SURGERY","TW1 4QP",17,11170
"3562","H84040","HAMPTON MEDICAL CENTRE","TW12 2PB",23,11650
"3563","H84041","VINEYARD SURGERY","TW10 6PP",23,6657
"3564","H84042","HOLMWOOD CORNER SURGERY","KT3 6DR",20,12712
"3565","H84044","THE GREEN & FIR ROAD","TW2 5TU",17,8383
"3566","H84048","TWICKENHAM PARK SURGERY","TW1 2AR",7,8195
"3567","H84050","CHESSINGTON PARK SURGERY","KT9 2GY",10,7585
"3568","H84051","ROSELAWN SURGERY","KT3 6AA",6,6266
"3569","H84053","BERRYLANDS SURGERY","KT6 6EZ",17,4422
"3570","H84054","RED LION ROAD SURGERY","KT6 7QG",3,3505
"3571","H84055","SHEEN LANE SURGERY","SW14 8LP",18,11613
"3572","H84057","STAINES ROAD MEDICAL CENTRE","TW2 5AU",1,3789
"3573","H84059","THAMESIDE MEDICAL PRACTICE","TW11 8HU",13,4514
"3574","H84060","RICHMOND LOCK SURGERY","TW1 1PS",11,7557
"3575","H84061","KINGSTON HEALTH CENTRE","KT2 5AD",25,19014
"3576","H84062","LANGLEY MEDICAL PRACTICE","KT6 6EZ",17,7926
"3577","H84618","SUNRAY SURGERY","KT5 9QD",9,5068
"3578","H84619","CLAREMONT MEDICAL CENTRE","KT6 6BS",13,11248
"3579","H84623","HAMPTON HILL MEDICAL CENTRE","TW12 1NY",12,8581
"3580","H84625","WOODLAWN MEDICAL CENTRE","TW2 6EE",4,4745
"3581","H84629","VILLAGE SURGERY","KT3 4BH",3,5559
"3582","H84630","CRANE PARK SURGERY","TW2 6JL",2,3859
"3583","H84635","MANOR DRIVE MEDICAL CENTRE","KT4 7LG",17,14842
"3584","H84639","KEW MEDICAL PRACTICE","TW9 4BH",7,5816
"3585","H85001","WANDSWORTH MEDICAL CENTRE","SW18 4DD",36,18208
"3586","H85002","FALCON ROAD MEDICAL CENTRE","SW11 2PH",14,9326
"3587","H85003","QUEENSTOWN ROAD MEDICAL PRACTICE","SW8 3RX",22,7435
"3588","H85005","TRINITY MEDICAL CENTRE","SW17 7AL",13,7923
"3589","H85006","MAYFIELD SURGERY","SW15 4AA",18,6756
"3590","H85007","SOUTHFIELDS GROUP PRACTICE","SW18 5AE",19,11549
"3591","H85008","ROEHAMPTON LANE SURGERY","SW15 4HN",4,6121
"3592","H85009","BEDFORD HILL FAMILY PRACTICE","SW12 9HS",18,12455
"3593","H85011","GREYSWOOD PRACTICE","SW16 6PX",16,10152
"3594","H85012","PUTNEYMEAD GROUP MEDICAL PRACTICE","SW15 6TQ",47,26129
"3595","H85018","MULGRAVE ROAD SURGERY","SM2 6LX",11,8814
"3596","H85020","NELSON MEDICAL PRACTICE","SW20 8DA",50,30664
"3597","H85021","CHESSER PRACTICE","SM5 2RT",7,6237
"3598","H85022","PARK ROAD MEDICAL CENTRE","SM6 8AW",2,4169
"3599","H85023","BISHOPSFORD ROAD MEDICAL CENTRE","SM4 6BH",10,4645
"3600","H85024","MITCHAM MEDICAL CENTRE","CR4 3PR",15,8604
"3601","H85025","WRYTHE GREEN SURGERY","SM5 2RE",18,15694
"3602","H85026","FRANCIS GROVE SURGERY","SW19 4DL",20,14726
"3603","H85027","WIMBLEDON VILLAGE SURGERY","SW19 5BY",14,13295
"3604","H85028","WIMBLEDON MEDICAL PRACTICE","SW19 1NX",10,10491
"3605","H85029","WIDE WAY MEDICAL CENTRE","CR4 1BP",18,10610
"3606","H85030","OLD COURT HOUSE SURGERY","SM1 4AF",15,12893
"3607","H85031","BENHILL & BELMONT GP CENTRE","SM1 4EB",16,11873
"3608","H85032","CARSHALTON FIELDS SURGERY","SM5 3LS",4,3854
"3609","H85033","TAMWORTH HOUSE MEDICAL CENTRE","CR4 1DL",15,9257
"3610","H85035","ROWANS SURGERY","SW16 5HF",26,6806
"3611","H85037","MORDEN HALL MEDICAL CENTRE","SW19 3DA",23,14956
"3612","H85038","CRICKET GREEN MEDICAL PRACTICE","CR4 3DA",21,11643
"3613","H85041","EARLSFIELD SURGERY","SW18 4HH",10,13745
"3614","H85045","BRIDGE LANE GROUP PRACTICE","SW11 3AD",25,14700
"3615","H85047","CHATFIELD HEALTH CARE","SW11 3UJ",22,10848
"3616","H85048","BROCKLEBANK GROUP PRACTICE","SW18 4DU",37,16476
"3617","H85049","BATTERSEA RISE GROUP PRACTICE","SW11 1HG",8,7399
"3618","H85051","LAMBTON ROAD MEDICAL PRACTICE","SW20 0LW",37,17549
"3619","H85052","STREATHAM PARK SURGERY","SW16 6LY",5,4950
"3620","H85053","SUTTON MEDICAL CENTRE","SM1 4NG",4,4730
"3621","H85055","WEST BARNES SURGERY","KT3 6JD",8,7460
"3622","H85057","ELBOROUGH STREET SURGERY","SW18 5DS",8,7655
"3623","H85061","HEATHBRIDGE PRACTICE","SW15 2TL",23,20879
"3624","H85063","CHEAM GP CENTRE","SM3 8EP",16,13465
"3625","H85065","ALTON PRACTICE","SW15 4LE",4,4100
"3626","H85066","BALHAM PARK SURGERY","SW17 7AW",54,19297
"3627","H85067","DANEBURY AVENUE SURGERY","SW15 4DU",7,3105
"3628","H85069","LAVENDER HILL GROUP PRACTICE","SW11 5TU",29,13969
"3629","H85070","CENTRAL MEDICAL CENTRE","SM4 5RT",15,9355
"3630","H85075","HAIDER PRACTICE","SW11 1SW",19,5318
"3631","H85076","STONECOT SURGERY","SM3 9EY",14,8947
"3632","H85077","BOLINGBROKE MEDICAL CENTRE","SW11 6BF",9,5842
"3633","H85078","MITCHAM FAMILY PRACTICE","CR4 3HS",3,4068
"3634","H85082","TRIANGLE SURGERY","SW18 4HX",2,4660
"3635","H85087","OPEN DOOR SURGERY","SW12 8EU",4,9556
"3636","H85088","CLAPHAM JUNCTION MEDICAL PRACTICE","SW11 2EJ",4,2509
"3637","H85090","FIGGES MARSH SURGERY","CR4 3LD",8,9253
"3638","H85092","RIVERHOUSE MEDICAL PRACTICE","SW19 1YG",3,5771
"3639","H85095","ROBIN HOOD LANE HEALTH CENTRE","SM1 2RJ",20,14272
"3640","H85100","ST PAULS COTTAGE SURGERY","SW19 6EW",21,7909
"3641","H85101","GRAND DRIVE SURGERY","SW20 9EA",8,8880
"3642","H85103","HACKBRIDGE MEDICAL CENTRE","SM6 7HF",7,6113
"3643","H85105","CHEAM FAMILY PRACTICE","SM3 8BS",20,13375
"3644","H85110","RAVENSBURY PARK MEDICAL CENTRE","CR4 4DQ",8,5324
"3645","H85111","BATTERSEA FIELDS PRACTICE","SW11 5JP",39,12499
"3646","H85112","VINEYARD HILL ROAD SURGERY","SW19 7JL",17,5532
"3647","H85113","MALDON ROAD SURGERY","SM6 8BL",10,3963
"3648","H85114","THURLEIGH ROAD PRACTICE","SW12 8TT",20,14426
"3649","H85115","SHOTFIELD MEDICAL PRACTICE","SM6 0HY",19,13280
"3650","H85116","MANOR PRACTICE","SM6 9DW",19,9339
"3651","H85618","JAMES O'RIORDAN MEDICAL CENTRE","SM3 9HE",12,9521
"3652","H85634","MERTON MEDICAL PRACTICE","SW19 1DG",14,7758
"3653","H85637","BALHAM HEALTH CENTRE","SW12 9HS",1,1352
"3654","H85649","COLLIERS WOOD SURGERY","SW19 2BY",6,11209
"3655","H85653","WALLINGTON FAMILY PRACTICE","SM6 0HY",18,16518
"3656","H85656","ALEXANDRA ROAD SURGERY","SW19 7JZ",4,5772
"3657","H85659","ST JOHNS HILL SURGERY","SW11 1SW",14,10031
"3658","H85662","BEECHES SURGERY","SM5 3RB",5,5556
"3659","H85664","TOOTING BEC SURGERY","SW17 7BA",4,1925
"3660","H85665","WALLINGTON MEDICAL CENTRE","SM6 9BY",1,2691
"3661","H85680","TOOTING SOUTH MEDICAL CENTRE","SW17 9HQ",8,10352
"3662","H85682","TUDOR LODGE HEALTH CENTRE","SW19 6AE",11,9917
"3663","H85683","FACCINI HOUSE SURGERY","SM4 6RS",7,5107
"3664","H85686","GROVE ROAD PRACTICE","SM1 2DB",16,10140
"3665","H85691","NIGHTINGALE PRACTICE","SW12 8NB",6,122
"3666","H85693","CIRCLE GP SURGERY","SM5 1JF",10,11042
"3667","H85695","THE PRACTICE FURZEDOWN","SW16 6BL",8,921
"3668","Y00182","RAINBOW HEALTH CENTRE","CR7 7JN",2,1470
"3669","Y01132","CHARTFIELD SURGERY","SW15 6HG",20,14115
"3670","Y01206","GLEBE ROAD SURGERY","SW13 0DR",17,11114
"3671","Y02423","GRAFTON MEDICAL PARTNERS","SW17 0RT",51,40867
"3672","Y02946","JUNCTION HEALTH CENTRE","SW11 2NU",10,8334
"3673","Y02962","EDRIDGE ROAD COMMUNITY HEALTH CENTRE","CR0 1FE",19,5645
